Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.106051	0.156131	96.206667	94.790000	
0.010000	0.104535	0.158682	96.273333	94.980000	
0.010000	0.101946	0.162322	96.306667	94.910000	
0.010000	0.102897	0.164717	96.293333	94.780000	
0.010000	0.104955	0.165904	96.183333	94.850000	
0.010000	0.101154	0.169760	96.395000	94.750000	
0.010000	0.104647	0.159634	96.273333	94.870000	
0.010000	0.099527	0.160461	96.451667	94.760000	
0.010000	0.102152	0.160896	96.361667	94.990000	
0.010000	0.101147	0.168836	96.428333	94.690000	
0.010000	0.100109	0.159413	96.445000	95.120000	
0.010000	0.099121	0.170138	96.473333	94.800000	
0.010000	0.100391	0.163698	96.370000	95.080000	
0.010000	0.099605	0.169739	96.465000	94.910000	
0.010000	0.098217	0.161755	96.560000	95.000000	
0.010000	0.100610	0.177187	96.366667	94.710000	
0.010000	0.097918	0.156117	96.440000	95.210000	
0.010000	0.098471	0.176375	96.461667	94.430000	
0.010000	0.100617	0.177616	96.461667	94.380000	
0.010000	0.097532	0.162583	96.553333	94.820000	
0.010000	0.094852	0.159646	96.641667	95.110000	
0.010000	0.097186	0.176957	96.558333	94.730000	
0.010000	0.097213	0.173294	96.516667	94.780000	
0.010000	0.096472	0.175602	96.556667	94.580000	
0.010000	0.094784	0.165053	96.636667	94.800000	
0.010000	0.095615	0.162940	96.581667	94.840000	
0.010000	0.093065	0.173628	96.705000	94.650000	
0.010000	0.093836	0.170167	96.691667	94.790000	
0.010000	0.094347	0.161331	96.691667	95.120000	
0.010000	0.092455	0.173751	96.745000	94.750000	
0.010000	0.094205	0.171582	96.643333	94.890000	
0.010000	0.092657	0.164963	96.751667	95.180000	
0.010000	0.088502	0.173859	96.845000	94.530000	
0.010000	0.092521	0.182266	96.715000	94.550000	
0.010000	0.096714	0.162808	96.611667	95.080000	
0.010000	0.088612	0.171288	96.915000	94.690000	
0.010000	0.090352	0.168335	96.871667	94.830000	
0.010000	0.089061	0.196032	96.826667	94.180000	
0.010000	0.089854	0.170045	96.801667	94.910000	
0.010000	0.089838	0.174749	96.828333	94.770000	
0.010000	0.087736	0.174165	96.920000	94.910000	
0.010000	0.088656	0.160502	96.896667	95.040000	
0.010000	0.087534	0.171512	96.838333	94.740000	
0.001000	0.061604	0.151345	97.871667	95.370000	
0.001000	0.050477	0.153695	98.278333	95.660000	
0.001000	0.044909	0.158520	98.533333	95.550000	
0.001000	0.043828	0.163126	98.556667	95.650000	
0.001000	0.042665	0.166503	98.578333	95.660000	
0.001000	0.039902	0.165379	98.686667	95.590000	
0.001000	0.040294	0.171263	98.668333	95.640000	
0.001000	0.039379	0.172764	98.713333	95.610000	
0.001000	0.038154	0.174208	98.746667	95.630000	
0.001000	0.038256	0.173977	98.751667	95.600000	
0.001000	0.036341	0.178632	98.781667	95.550000	
0.001000	0.036525	0.176286	98.816667	95.630000	
0.001000	0.036297	0.177672	98.845000	95.660000	
0.001000	0.033361	0.179048	98.943333	95.690000	
0.001000	0.034573	0.178685	98.855000	95.720000	
0.001000	0.033704	0.178569	98.906667	95.730000	
0.001000	0.032557	0.180526	98.926667	95.740000	
0.001000	0.033018	0.181653	98.931667	95.800000	
0.001000	0.035029	0.183506	98.830000	95.690000	
0.001000	0.031843	0.181574	98.926667	95.680000	
0.001000	0.032422	0.182610	98.958333	95.690000	
0.001000	0.032009	0.182127	98.948333	95.760000	
0.001000	0.031500	0.181453	98.968333	95.750000	
0.001000	0.031107	0.181338	98.981667	95.850000	
0.001000	0.030984	0.183996	98.975000	95.670000	
0.001000	0.029926	0.187553	99.033333	95.740000	
0.001000	0.029833	0.184401	99.031667	95.630000	
0.001000	0.028754	0.187727	99.075000	95.760000	
0.001000	0.030199	0.184087	98.998333	95.860000	
0.001000	0.032018	0.184643	98.956667	95.820000	
0.001000	0.028517	0.185842	99.046667	95.830000	
0.001000	0.029961	0.183448	98.978333	95.820000	
0.001000	0.030551	0.185679	98.975000	95.780000	
0.001000	0.027293	0.188998	99.073333	95.720000	
0.001000	0.029025	0.186989	99.040000	95.760000	
0.001000	0.027588	0.198249	99.096667	95.630000	
0.001000	0.028619	0.187620	99.080000	95.820000	
0.001000	0.029098	0.189520	99.036667	95.670000	
0.001000	0.027869	0.190801	99.081667	95.920000	
0.001000	0.026807	0.189151	99.098333	95.810000	
0.001000	0.029525	0.183283	99.038333	95.850000	
0.001000	0.027365	0.182530	99.081667	95.900000	
0.001000	0.028082	0.187734	99.083333	95.780000	
0.001000	0.028447	0.185594	99.076667	95.790000	
0.001000	0.027900	0.186011	99.083333	95.860000	
0.001000	0.026161	0.186446	99.150000	95.800000	
0.001000	0.025995	0.187095	99.135000	95.740000	
0.001000	0.026815	0.197159	99.108333	95.640000	
0.001000	0.026595	0.194219	99.178333	95.650000	
0.001000	0.025570	0.190543	99.186667	95.780000	
0.001000	0.024162	0.194841	99.233333	95.750000	
0.001000	0.026212	0.192320	99.160000	95.720000	
0.001000	0.024360	0.192679	99.216667	95.710000	
0.001000	0.024773	0.191028	99.205000	95.850000	
0.001000	0.026372	0.190517	99.141667	95.950000	
0.001000	0.027674	0.193308	99.103333	95.860000	
0.001000	0.025751	0.194486	99.188333	95.800000	
0.001000	0.025156	0.191082	99.223333	95.780000	
0.001000	0.026727	0.187271	99.113333	95.970000	
0.001000	0.026160	0.196051	99.118333	95.780000	
0.001000	0.026192	0.193232	99.156667	95.830000	
0.001000	0.026230	0.193359	99.105000	95.900000	
0.001000	0.025101	0.200731	99.191667	95.740000	
0.001000	0.025540	0.195539	99.158333	95.740000	
0.001000	0.024786	0.195309	99.143333	95.840000	
0.001000	0.024129	0.189054	99.220000	95.930000	
0.001000	0.024922	0.191506	99.196667	95.830000	
0.001000	0.024394	0.190845	99.210000	95.890000	
0.001000	0.024912	0.190508	99.140000	95.980000	
0.001000	0.025249	0.187137	99.178333	95.890000	
0.001000	0.024956	0.195961	99.161667	95.840000	
0.001000	0.025865	0.191460	99.153333	95.900000	
0.001000	0.022628	0.198198	99.293333	95.780000	
0.001000	0.024603	0.198847	99.186667	95.780000	
0.001000	0.023659	0.200269	99.220000	95.830000	
